season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
2022,2021-22,MBA,434,Missouri,1,I,SEC,7332342,19,Trevor Austin,,,So,INF,5-10,R/R,14942,42,40,76,16,94,2,0.979,,,,,2,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7337123,47,Kyle Pottoff,,,Jr,P,6-5,R/R,14942,5,0,1,1,2,,1.000,,,,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7337512,13,Garrett Rice,,,So,INF,6-2,R/R,14942,15,6,16,3,19,,1.000,,,,,2,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7337813,20,Jacob Kush,,,Sr,P,5-8,R/R,14942,12,1,,3,3,,1.000,,,1,,1,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7339122,5,Josh Day,,,Sr,INF,-,,14942,50,50,58,104,168,6,0.964,,,,,25,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7340932,32,Drew Garrett,,,Sr,P,-,,14942,4,1,1,,1,,1.000,,,,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7342749,2,Mike Coletta,,,Sr,C,-,,14942,34,26,223,12,236,1,0.996,,4,18,2,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7344384,23,Ian Lohse,,,So,P,6-0,L/L,14942,17,0,,2,2,,1.000,,,4,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7344859,10,Jackson Beaman,,,So,INF,6-1,R/R,14942,8,1,2,,2,,1.000,,,,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7344939,48,Trae Robertson,,,Sr,P,-,,14942,10,0,,2,2,,1.000,,,2,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7345750,51,Brenner Maloney,,,Jr,P,-,,14942,1,0,,,1,1,0.000,,,1,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7346436,11,Luke Mann,,,Sr,INF,-,,14942,50,50,35,79,117,3,0.974,,,,,11,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7347549,9,Ty Wilmsmeyer,,,Jr,P,6-2,R/R,14942,51,51,132,3,136,1,0.993,,,,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7348313,39,Shane Wilhelm,,,Jr,P,-,,14942,1,0,,,0,,,,,,,,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7349974,26,Torin Montgomery,,,Jr,INF,-,,14942,49,49,354,19,376,3,0.992,,,,,40,,
2022,2021-22,MBA,434,Missouri,1,I,SEC,7351237,37,Holden Phelps,,,So,P,6-6,R/R,14942,6,1,,,1,1,0.000,,,3,,,,
