season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833473,6,Nate Piontka,,,Sr,P,-,,15002,14,6,5,,7,2,0.714,,,1,2,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833475,27,Shaun Kellerman,,,So,C,-,,15002,7,0,8,,8,,1.000,,1,4,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833479,2,Nolan Kelliher,,,Sr,INF,-,,15002,22,15,50,26,83,7,0.916,,,,,2,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833480,4,Ryan Loudermilt,,,So,P,-,,15002,14,3,,3,5,2,0.600,,,14,2,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833483,17,Josh Derocher,,,Jr,P,-,,15002,13,0,,2,3,1,0.667,,,11,1,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833484,7,Chandler Ballenger,,,Jr,OF,-,,15002,46,46,139,24,169,6,0.964,,,7,2,10,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833486,3,Joe Alcorn,,,Jr,INF,5-9,R/R,15002,46,46,44,108,160,8,0.950,,,,,11,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833487,1,Paul Rice,,,Jr,C,-,,15002,12,10,68,7,78,3,0.962,,4,22,3,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833491,32,Will Knight,,,So,1B,-,,15002,14,8,1,8,11,2,0.818,,,15,2,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833494,44,Bryan Roman,,,Sr,P,-,,15002,14,4,,5,7,2,0.714,,,7,1,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833496,8,Nolan White,,,So,C,-,,15002,1,1,1,4,5,,1.000,,,,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833497,18,Cameron Sheets,,,Jr,1B,-,,15002,40,39,42,3,46,1,0.978,,,,,1,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833499,26,Adriel Corea,,,Sr,P,-,,15002,8,0,,1,2,1,0.500,,,2,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833500,30,Keniel Rosado,,,So,,-,,15002,39,30,51,4,58,3,0.948,,,,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833501,25,Derek Marinucci,,,So,,6-0,R/R,15002,35,32,184,10,200,6,0.970,,21,64,5,2,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833502,24,Miggy Villalobos,,,Jr,1B,6-0,R/R,15002,17,10,67,1,68,,1.000,,,,,1,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7833504,34,Cooper Cole,,,So,1B,-,,15002,11,3,4,2,8,2,0.750,,,3,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992024,36,Tanner Cook,,,Fr,,5-9,R/R,15002,26,24,42,,45,3,0.933,,,,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992056,5,Travis Kalagher,,,Jr,,-,,15002,26,20,13,39,56,4,0.929,,,,,3,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992057,9,Josh Rush,,,Jr,,-,,15002,43,41,62,65,144,17,0.882,,,,,10,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992058,10,Bret Price Jr.,,,Jr,,-,,15002,24,17,16,13,32,3,0.906,,,15,1,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992060,11,Stephen Bell,,,Fr,,-,,15002,44,41,80,2,86,4,0.953,,,,,1,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992063,12,Logan Green,,,Fr,,-,,15002,3,1,,,0,,,,,4,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992066,14,Matt Gilkey,,,Jr,,-,,15002,16,2,1,4,6,1,0.833,,,15,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992067,20,Cade Van Ness,,,Jr,,-,,15002,1,1,,,1,1,0.000,,,1,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992068,21,Zach Pies,,,Fr,,-,,15002,13,3,3,,3,,1.000,,,,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992069,22,Emmanuel Rodriguez,,,Jr,,6-0,R/R,15002,44,44,94,30,131,7,0.947,,8,13,2,5,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,7992070,23,Justin Ritz,,,Fr,,6-2,,15002,7,0,1,3,4,,1.000,,,1,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,8012365,99,C. B,,,N/A,p,-,,15002,1,1,,,0,,,,,2,,,,
2023,2022-23,MBA,934,Alderson Broaddus,2,II,MEC,8012390,20,C. Ness,,,N/A,p,-,,15002,5,3,1,1,2,,1.000,,,5,,,,
