season,season_name,sport_id,ncaa_division,ncaa_division_formatted,team_conference_name,school_id,school_name,player_id,player_jersey_num,player_full_name,player_first_name,player_last_name,player_class,player_positions,player_height_string,player_weight,player_batting_hand,player_throwing_hand,player_hometown,player_high_school,player_G,player_GS,player_url
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8874812,2,Zandt Payne,Zandt,Payne,Sr.,INF,5-10,,BOTH,RIGHT,"Edmond, OK",Deer Creek HS,3,3,https://stats.ncaa.org/players/8874812
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8878607,37,Chandler Benson,Chandler,Benson,Sr.,P,5-11,,LEFT,LEFT,"Frisco, TX",Liberty HS,1,0,https://stats.ncaa.org/players/8878607
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8879390,3,Cade McGarrh,Cade,McGarrh,Jr.,INF,6-3,,LEFT,RIGHT,"Frisco, TX",Liberty HS,1,1,https://stats.ncaa.org/players/8879390
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8879958,45,Brett Lanman,Brett,Lanman,So.,P,6-4,,LEFT,LEFT,"Fairview, TX",Lovejoy HS,1,1,https://stats.ncaa.org/players/8879958
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8880129,18,Noah Galvan,Noah,Galvan,Sr.,P,5-11,,RIGHT,RIGHT,"Fresno, CA",Clovis West HS,0,0,https://stats.ncaa.org/players/8880129
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8880327,47,Cruz Garcia,Cruz,Garcia,So.,C,5-10,,RIGHT,RIGHT,"Kerrville, TX",Homeschool,0,0,https://stats.ncaa.org/players/8880327
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8881940,4,Caden Greanead,Caden,Greanead,Sr.,P,6-3,,RIGHT,RIGHT,"Denton, TX",Denton HS,1,0,https://stats.ncaa.org/players/8881940
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8883380,11,Blaine Palmer,Blaine,Palmer,Jr.,P,5-11,,RIGHT,RIGHT,"Buffalo Gap, TX",Jim Ned HS,1,0,https://stats.ncaa.org/players/8883380
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8884250,19,Holden Rook,Holden,Rook,Jr.,OF,5-10,,RIGHT,RIGHT,"The Woodlands, TX",College Park HS,1,0,https://stats.ncaa.org/players/8884250
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8884340,28,Reese Borho,Reese,Borho,So.,OF,6-0,,LEFT,LEFT,"Abilene, TX",Wylie HS,3,2,https://stats.ncaa.org/players/8884340
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8886880,10,Ranse Radtke,Ranse,Radtke,Sr.,OF,6-2,,RIGHT,RIGHT,"Wichita Falls, TX",Rider HS,3,1,https://stats.ncaa.org/players/8886880
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8889173,21,OJ Gonzalez,OJ,Gonzalez,So.,P,6-0,,RIGHT,RIGHT,"Lakeway, TX",Lake Travis HS,0,0,https://stats.ncaa.org/players/8889173
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8891098,32,Jack Nielsen,Jack,Nielsen,Sr.,INF,6-3,,RIGHT,RIGHT,"Southlake, TX",Southlake Carroll HS,2,0,https://stats.ncaa.org/players/8891098
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8893354,99,Maddox Miesse,Maddox,Miesse,Jr.,C,6-0,,RIGHT,RIGHT,"Adkins, TX",East Central HS,3,3,https://stats.ncaa.org/players/8893354
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8895393,15,Joseph Carbone,Joseph,Carbone,Sr.,P,6-0,,LEFT,LEFT,"Cypress, TX",Cypress Christian HS,0,0,https://stats.ncaa.org/players/8895393
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8897509,0,Zion Stephens,Zion,Stephens,So.,INF,6-0,,LEFT,RIGHT,"Missouri City, TX",Ridge Point HS,0,0,https://stats.ncaa.org/players/8897509
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8900546,17,Iain Campa,Iain,Campa,Sr.,P,6-3,,RIGHT,RIGHT,"El Paso, TX",Socorro HS,1,0,https://stats.ncaa.org/players/8900546
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,8901628,43,Nolan Foster,Nolan,Foster,So.,P,6-2,,RIGHT,RIGHT,"Mc Kinney, TX",McKinney North HS,1,0,https://stats.ncaa.org/players/8901628
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085505,6,Benjamin Greer,Benjamin,Greer,Sr.,INF,6-0,,BOTH,RIGHT,"Pearland, TX",Shadow Creek HS,3,3,https://stats.ncaa.org/players/9085505
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085506,44,Chandler Freeman,Chandler,Freeman,Sr.,P,5-11,,RIGHT,RIGHT,"Georgetown, TX",Colleyville Heritage HS,1,0,https://stats.ncaa.org/players/9085506
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085509,7,Brady Coe,Brady,Coe,Fr.,INF,5-9,,RIGHT,RIGHT,"Fairview, TX",Allen HS,1,0,https://stats.ncaa.org/players/9085509
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085512,8,Grant Watkins,Grant,Watkins,Jr.,INF,6-0,,LEFT,RIGHT,"Los Alamos, NM",Los Alamos HS,3,3,https://stats.ncaa.org/players/9085512
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085514,9,Louis Bussard,Louis,Bussard,Fr.,OF,5-9,,LEFT,LEFT,"Lewisville, TX",Prestonwood Christian Academy ,1,0,https://stats.ncaa.org/players/9085514
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085515,12,Sam Hardcastle,Sam,Hardcastle,Jr.,INF,6-3,,RIGHT,RIGHT,"Richmond, TX",Foster HS,0,0,https://stats.ncaa.org/players/9085515
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085516,14,Diego Cardenas,Diego,Cardenas,Jr.,INF,6-1,,LEFT,RIGHT,"El Paso, TX",Riverside HS,3,3,https://stats.ncaa.org/players/9085516
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085517,5,Nick Arias,Nick,Arias,Jr.,INF,5-11,,RIGHT,RIGHT,"Tucson, AZ",Tucson HS,3,3,https://stats.ncaa.org/players/9085517
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085518,16,Christian Smith,Christian,Smith,Jr.,OF,6-1,,RIGHT,RIGHT,"Temecula, CA",Great Oak HS,1,0,https://stats.ncaa.org/players/9085518
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085519,20,Zach Applegate,Zach,Applegate,Fr.,P,6-0,,LEFT,LEFT,"Burleson, TX",Centennial HS,0,0,https://stats.ncaa.org/players/9085519
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085520,22,Dominick Reid,Dominick,Reid,Jr.,P,6-3,,RIGHT,RIGHT,"Little Elm, TX",Lone Star HS,1,1,https://stats.ncaa.org/players/9085520
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085521,23,Colin Huspen,Colin,Huspen,Jr.,P,6-2,,RIGHT,RIGHT,"Allen, TX",Allen HS,0,0,https://stats.ncaa.org/players/9085521
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085522,24,David Jeon,David,Jeon,Jr.,P,6-0,,RIGHT,RIGHT,"Coppell, TX",Coppell HS,0,0,https://stats.ncaa.org/players/9085522
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085523,25,Andrew Guardino,Andrew,Guardino,Sr.,P,6-3,,RIGHT,RIGHT,"Santa Barbara, CA",Dos Pueblos HS,1,0,https://stats.ncaa.org/players/9085523
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085524,26,Matthew Millett,Matthew,Millett,Fr.,P,6-2,,RIGHT,RIGHT,"Mansfield, TX",Lake Ridge HS,0,0,https://stats.ncaa.org/players/9085524
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085525,27,Braden Regala,Braden,Regala,Fr.,OF,5-8,,BOTH,LEFT,"Abilene, TX",Wylie HS,3,3,https://stats.ncaa.org/players/9085525
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085526,29,Cole Miller,Cole,Miller,Fr.,P,6-1,,RIGHT,RIGHT,"Austin, TX",Bowie HS,0,0,https://stats.ncaa.org/players/9085526
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085527,30,Brady Gray,Brady,Gray,Fr.,C,6-0,,BOTH,RIGHT,"Farmersville, TX",Farmersville HS,3,3,https://stats.ncaa.org/players/9085527
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085528,34,Stetson Callaway,Stetson,Callaway,So.,P,6-4,,RIGHT,RIGHT,"Tuscola, TX",Homeschool,0,0,https://stats.ncaa.org/players/9085528
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085529,36,Henry Cone,Henry,Cone,Sr.,P,6-1,,RIGHT,RIGHT,"Brenham, TX",Brenham ,0,0,https://stats.ncaa.org/players/9085529
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085530,55,Luke Baier,Luke,Baier,Jr.,C,6-5,,LEFT,RIGHT,"Wenatchee, WA",Wenatchee HS,0,0,https://stats.ncaa.org/players/9085530
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085531,35,Blake Anderson,Blake,Anderson,Sr.,P,5-11,,RIGHT,RIGHT,"Royse City, TX",Royse City HS,0,0,https://stats.ncaa.org/players/9085531
2025,2024-25,MBA,1,I,WAC,2,Abilene Christian,9085532,38,Cooper Hrbacek,Cooper,Hrbacek,Sr.,P,6-0,,RIGHT,RIGHT,"Abilene, TX",Wylie HS,1,0,https://stats.ncaa.org/players/9085532
2025,2024-25,MBA,1,I,MAC,5,Akron,8876474,5,Charlie Schebler,Charlie,Schebler,So.,INF,6-2,,LEFT,RIGHT,"Batesville, IN",Batesville,3,3,https://stats.ncaa.org/players/8876474
2025,2024-25,MBA,1,I,MAC,5,Akron,8880499,1,Austin Lafferty,Austin,Lafferty,So.,OF,5-11,,RIGHT,RIGHT,"Pittsburgh, PA",South Park,1,0,https://stats.ncaa.org/players/8880499
2025,2024-25,MBA,1,I,MAC,5,Akron,8880687,17,Jack Kelley,Jack,Kelley,Sr.,P,6-1,,RIGHT,RIGHT,"Temecula, CA",Palomar,1,1,https://stats.ncaa.org/players/8880687
2025,2024-25,MBA,1,I,MAC,5,Akron,8880934,3,Evan Bottone,Evan,Bottone,So.,OF,5-9,,LEFT,RIGHT,"Bay Village, OH",Bay Village HS,3,3,https://stats.ncaa.org/players/8880934
2025,2024-25,MBA,1,I,MAC,5,Akron,8881016,16,Ian Pennington,Ian,Pennington,Sr.,OF,6-3,,,,"Springboro, OH",Springboro HS,3,3,https://stats.ncaa.org/players/8881016
2025,2024-25,MBA,1,I,MAC,5,Akron,8881932,33,Andrew Horvath,Andrew,Horvath,Sr.,C,6-1,,,,"Aurora, OH",Aurora HS,2,2,https://stats.ncaa.org/players/8881932
2025,2024-25,MBA,1,I,MAC,5,Akron,8882151,0,Parker Munday,Parker,Munday,So.,P,5-10,,LEFT,LEFT,"Chagrin Falls, OH",Kenston,1,0,https://stats.ncaa.org/players/8882151
